天数,顺从度,顺从度增长
742,45.717,0.045
743,45.762,0.045
744,45.807,0.044
745,45.851,0.044
746,45.895,0.044
747,45.939,0.044
748,45.983000000000004,0.044
749,46.027,0.044
750,46.071,0.044
751,46.115,0.044
752,46.159,0.044
753,46.203,0.044
754,46.247,0.044
755,46.291000000000004,0.044
756,46.335,0.044
757,46.379,0.044
758,46.423,0.044
759,46.467,0.044
760,46.511,0.044
761,46.555,0.044
762,46.599000000000004,0.044
763,46.643,0.044
764,46.687,0.044
765,46.731,0.044
766,46.775,0.044
767,46.819,0.044
768,46.863,0.044
769,46.907000000000004,0.044
770,46.951,0.044
771,46.995,0.043000000000000003
772,47.038000000000004,0.043000000000000003
773,47.081,0.043000000000000003
774,47.124,0.043000000000000003
775,47.167,0.043000000000000003
776,47.21,0.043000000000000003
777,47.253,0.043000000000000003
778,47.296,0.043000000000000003
779,47.339,0.043000000000000003
780,47.382,0.043000000000000003
781,47.425000000000004,0.043000000000000003
782,47.468,0.043000000000000003
783,47.511,0.043000000000000003
784,47.554,0.043000000000000003
785,47.597,0.043000000000000003
786,47.64,0.043000000000000003
787,47.683,0.043000000000000003
788,47.726,0.043000000000000003
789,47.769,0.043000000000000003
790,47.812,0.043000000000000003
791,47.855000000000004,0.043000000000000003
792,47.898,0.043000000000000003
793,47.941,0.043000000000000003
794,47.984,0.043000000000000003
795,48.027,0.043000000000000003
796,48.07,0.043000000000000003
797,48.113,0.043000000000000003
798,48.156,0.043000000000000003
799,48.199,0.042
800,48.241,0.042
801,48.283,0.042
802,48.325,0.042
803,48.367000000000004,0.042
804,48.409,0.042
805,48.451,0.042
806,48.493,0.042
807,48.535000000000004,0.042
808,48.577,0.042
809,48.619,0.042
810,48.661,0.042
811,48.703,0.042
812,48.745000000000005,0.042
813,48.787,0.042
814,48.829,0.042
815,48.871,0.042
816,48.913000000000004,0.042
817,48.955,0.042
818,48.997,0.042
819,49.039,0.042
820,49.081,0.042
821,49.123,0.042
822,49.165,0.042
823,49.207,0.042
824,49.249,0.042
825,49.291000000000004,0.042
826,49.333,0.042
827,49.375,0.042
828,49.417,0.041
829,49.458,0.041
830,49.499,0.041
831,49.54,0.041
832,49.581,0.041
833,49.622,0.041
834,49.663000000000004,0.041
835,49.704,0.041
836,49.745000000000005,0.041
837,49.786,0.041
838,49.827,0.041
839,49.868,0.041
840,49.909,0.041
841,49.95,0.041
842,49.991,0.041
843,50.032000000000004,0.041
844,50.073,0.041
845,50.114000000000004,0.041
846,50.155,0.041
847,50.196,0.041
848,50.237,0.041
849,50.278,0.041
850,50.319,0.041
851,50.36,0.041
852,50.401,0.041
853,50.442,0.041
854,50.483000000000004,0.041
855,50.524,0.041
856,50.565,0.041
857,50.606,0.04
858,50.646,0.04
859,50.686,0.04
860,50.726,0.04
861,50.766,0.04
862,50.806000000000004,0.04
863,50.846000000000004,0.04
864,50.886,0.04
865,50.926,0.04
866,50.966,0.04
867,51.006,0.04
868,51.046,0.04
869,51.086,0.04
870,51.126,0.04
871,51.166000000000004,0.04
872,51.206,0.04
873,51.246,0.04
874,51.286,0.04
875,51.326,0.04
876,51.366,0.04
877,51.406,0.04
878,51.446,0.04
879,51.486000000000004,0.04
880,51.526,0.04
881,51.566,0.04
882,51.606,0.04
883,51.646,0.04
884,51.686,0.04
885,51.726,0.04
886,51.766,0.04
887,51.806000000000004,0.04
888,51.846000000000004,0.039
889,51.885,0.039
890,51.924,0.039
891,51.963,0.039
892,52.002,0.039
893,52.041000000000004,0.039
894,52.08,0.039
895,52.119,0.039
896,52.158,0.039
897,52.197,0.039
898,52.236000000000004,0.039
899,52.275,0.039
900,52.314,0.039
901,52.353,0.039
902,52.392,0.039
903,52.431000000000004,0.039
904,52.47,0.039
905,52.509,0.039
906,52.548,0.039
907,52.587,0.039
908,52.626,0.039
909,52.665,0.039
910,52.704,0.039
911,52.743,0.039
912,52.782000000000004,0.039
913,52.821,0.039
914,52.86,0.039
915,52.899,0.039
916,52.938,0.039
917,52.977000000000004,0.039
918,53.016,0.038
919,53.054,0.038
920,53.092,0.038
921,53.13,0.038
922,53.168,0.038
923,53.206,0.038
924,53.244,0.038
925,53.282000000000004,0.038
926,53.32,0.038
927,53.358000000000004,0.038
928,53.396,0.038
929,53.434000000000005,0.038
930,53.472,0.038
931,53.51,0.038
932,53.548,0.038
933,53.586,0.038
934,53.624,0.038
935,53.662,0.038
936,53.7,0.038
937,53.738,0.038
938,53.776,0.038
939,53.814,0.038
940,53.852000000000004,0.038
941,53.89,0.038
942,53.928000000000004,0.038
943,53.966,0.038
944,54.004,0.038
945,54.042,0.038
946,54.08,0.038
947,54.118,0.038
948,54.156,0.038
949,54.194,0.038
950,54.232,0.037
